0357T,cryopreservation oocyte(s)
5671,Pneumococcal peritonitis
56721,Peritonitis (acute) generalized
56722,Peritoneal abscess
56723,Spontaneous bacterial peritonitis
56729,Other suppurative peritonitis
56731,Psoas muscle abscess
56738,Other retroperitoneal abscess
56739,Other retroperitoneal infections
56781,Choleperitonitis
56782,Sclerosing mesenteritis
56789,Other specified peritonitis
5679,Unspecified peritonitis
5680,Peritoneal adhesions (postoperative) (postinfection)
56881,Hemoperitoneum (nontraumatic)
56882,Peritoneal effusion (chronic)
56889,Other specified disorders of peritoneum
5689,Unspecified disorder of peritoneum
5690,Anal and rectal polyp
5691,Rectal prolapse
5692,Stenosis of rectum and anus
5693,Hemorrhage of rectum and anus
56941,Ulcer of anus and rectum
56942,Anal or rectal pain
56943,Anal sphincter tear (healed) (old)
56944,Dysplasia of anus
56949,Other specified disorders of rectum and anus
5695,Abscess of intestine
56960,"Colostomy and enterostomy complication, unspecified"
56961,Infection of colostomy or enterostomy
56962,Mechanical complication of colostomy and enterostomy
56969,Other colostomy and enterostomy complication
56971,Pouchitis
56979,Other complications of intestinal pouch
56981,"Fistula of intestine, excluding rectum and anus"
56982,Ulceration of intestine
56983,Perforation of intestine
56984,Angiodysplasia of intestine (without mention of hemorrhage)
56985,Angiodysplasia of intestine with hemorrhage
56986,Dieulafoy lesion (hemorrhagic) of intestine
56987,Vomiting of fecal matter
56989,Other specified disorders of intestine
5699,Unspecified disorder of intestine
570,Acute and subacute necrosis of liver
5710,Alcoholic fatty liver
5711,Acute alcoholic hepatitis
5712,Alcoholic cirrhosis of liver
5713,"Alcoholic liver damage, unspecified"
57140,"Chronic hepatitis, unspecified"
57141,Chronic persistent hepatitis
57142,Autoimmune hepatitis
57149,Other chronic hepatitis
5715,Cirrhosis of liver without mention of alcohol
5716,Biliary cirrhosis
5718,Other chronic nonalcoholic liver disease
5719,Unspecified chronic liver disease without mention of alcohol
5720,Abscess of liver
5721,Portal pyemia
5722,Hepatic encephalopathy
5723,Portal hypertension
5724,Hepatorenal syndrome
5728,Other sequelae of chronic liver disease
5730,Chronic passive congestion of liver
5731,Hepatitis in viral diseases classified elsewhere
5732,Hepatitis in other infectious diseases classified elsewhere
5733,"Hepatitis, unspecified"
5734,Hepatic infarction
5735,Hepatopulmonary syndrome
5738,Other specified disorders of liver
5739,Unspecified disorder of liver
57400,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
57401,"Calculus of gallbladder with acute cholecystitis, with obstruction"
57410,"Calculus of gallbladder with other cholecystitis, without mention of obstruction"
57411,"Calculus of gallbladder with other cholecystitis, with obstruction"
57420,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
57421,"Calculus of gallbladder without mention of cholecystitis, with obstruction"
57430,"Calculus of bile duct with acute cholecystitis, without mention of obstruction"
57431,"Calculus of bile duct with acute cholecystitis, with obstruction"
57440,"Calculus of bile duct with other cholecystitis, without mention of obstruction"
57441,"Calculus of bile duct with other cholecystitis, with obstruction"
57450,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction"
57451,"Calculus of bile duct without mention of cholecystitis, with obstruction"
57460,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction"
57461,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction"
57470,"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction"
57471,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction"
57480,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction"
57481,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction"
57490,"Calculus of gallbladder and bile duct without cholecystitis, without mention of obstruction"
57491,"Calculus of gallbladder and bile duct without cholecystitis, with obstruction"
5750,Acute cholecystitis
57510,"Cholecystitis, unspecified"
57511,Chronic cholecystitis
57512,Acute and chronic cholecystitis
5752,Obstruction of gallbladder
5753,Hydrops of gallbladder
5754,Perforation of gallbladder
5755,Fistula of gallbladder
5756,Cholesterolosis of gallbladder
5758,Other specified disorders of gallbladder
5759,Unspecified disorder of gallbladder
5760,Postcholecystectomy syndrome
5761,Cholangitis
5762,Obstruction of bile duct
5763,Perforation of bile duct
5764,Fistula of bile duct
5765,Spasm of sphincter of Oddi
5768,Other specified disorders of biliary tract
5769,Unspecified disorder of biliary tract
5770,Acute pancreatitis
5771,Chronic pancreatitis
5772,Cyst and pseudocyst of pancreas
5778,Other specified diseases of pancreas
5779,Unspecified disease of pancreas
5780,Hematemesis
5781,Blood in stool
5789,"Hemorrhage of gastrointestinal tract, unspecified"
5790,Celiac disease
5791,Tropical sprue
5792,Blind loop syndrome
5793,Other and unspecified postsurgical nonabsorption
5794,Pancreatic steatorrhea
5798,Other specified intestinal malabsorption
5799,Unspecified intestinal malabsorption
5800,Acute glomerulonephritis with lesion of proliferative glomerulonephritis
5804,Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis
58081,Acute glomerulonephritis in diseases classified elsewhere
58089,Acute glomerulonephritis with other specified pathological lesion in kidney
5809,Acute glomerulonephritis with unspecified pathological lesion in kidney
5810,Nephrotic syndrome with lesion of proliferative glomerulonephritis
5811,Nephrotic syndrome with lesion of membranous glomerulonephritis
5812,Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis
5813,Nephrotic syndrome with lesion of minimal change glomerulonephritis
58181,Nephrotic syndrome in diseases classified elsewhere
58189,Nephrotic syndrome with other specified pathological lesion in kidney
5819,Nephrotic syndrome with unspecified pathological lesion in kidney
5820,Chronic glomerulonephritis with lesion of proliferative glomerulonephritis
5821,Chronic glomerulonephritis with lesion of membranous glomerulonephritis
5822,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis
5824,Chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis
58281,Chronic glomerulonephritis in diseases classified elsewhere
58289,Chronic glomerulonephritis with other specified pathological lesion in kidney
5829,Chronic glomerulonephritis with unspecified pathological lesion in kidney
5830,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of proliferative glomerulonephritis"
5831,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis"
5832,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranoproliferative glomerulonephritis"
5834,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of rapidly progressive glomerulonephritis"
5836,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal cortical necrosis"
5837,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal medullary necrosis"
58381,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
58389,"Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney"
5839,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney"
5845,Acute kidney failure with lesion of tubular necrosis
5846,Acute kidney failure with lesion of renal cortical necrosis
5847,Acute kidney failure with lesion of renal medullary [papillary] necrosis
5848,Acute kidney failure with other specified pathological lesion in kidney
5849,"Acute kidney failure, unspecified"
5851,"Chronic kidney disease, Stage I"
5852,"Chronic kidney disease, Stage II (mild)"
5853,"Chronic kidney disease, Stage III (moderate)"
5854,"Chronic kidney disease, Stage IV (severe)"
5855,"Chronic kidney disease, Stage V"
5856,End stage renal disease
5859,"Chronic kidney disease, unspecified"
586,"Renal failure, unspecified"
587,"Renal sclerosis, unspecified"
5880,Renal osteodystrophy
5881,Nephrogenic diabetes insipidus
58881,Secondary hyperparathyroidism (of renal origin)
58889,Other specified disorders resulting from impaired renal function
5889,Unspecified disorder resulting from impaired renal function
5890,Unilateral small kidney
5891,Bilateral small kidneys
5899,"Small kidney, unspecified"
59000,Chronic pyelonephritis without lesion of renal medullary necrosis
59001,Chronic pyelonephritis with lesion of renal medullary necrosis
59010,Acute pyelonephritis without lesion of renal medullary necrosis
59011,Acute pyelonephritis with lesion of renal medullary necrosis
5902,Renal and perinephric abscess
5903,Pyeloureteritis cystica
59080,"Pyelonephritis, unspecified"
59081,Pyelitis or pyelonephritis in diseases classified elsewhere
5909,"Infection of kidney, unspecified"
591,Hydronephrosis
5920,Calculus of kidney
5921,Calculus of ureter
5929,"Urinary calculus, unspecified"
5930,Nephroptosis
5931,Hypertrophy of kidney
5932,"Cyst of kidney, acquired"
5933,Stricture or kinking of ureter
5934,Other ureteric obstruction
5935,Hydroureter
5936,Postural proteinuria
59370,Vesicoureteral reflux unspecified or without reflux nephropathy
59371,"Vesicoureteral reflux with reflux nephropathy, unilateral"
59372,"Vesicoureteral reflux with reflux nephropathy, bilateral"
59373,Other vesicoureteral reflux with reflux nephropathy NOS
59381,Vascular disorders of kidney
59382,Ureteral fistula
59389,Other specified disorders of kidney and ureter
5939,Unspecified disorder of kidney and ureter
5940,Calculus in diverticulum of bladder
5941,Other calculus in bladder
5942,Calculus in urethra
5948,Other lower urinary tract calculus
5949,"Calculus of lower urinary tract, unspecified"
5950,Acute cystitis
5951,Chronic interstitial cystitis
5952,Other chronic cystitis
5953,Trigonitis
5954,Cystitis in diseases classified elsewhere
59581,Cystitis cystica
59582,Irradiation cystitis
59589,Other specified types of cystitis
5959,"Cystitis, unspecified"
5960,Bladder neck obstruction
5961,Intestinovesical fistula
5962,"Vesical fistula, not elsewhere classified"
5963,Diverticulum of bladder
5964,Atony of bladder
59651,Hypertonicity of bladder
59652,Low bladder compliance
59653,Paralysis of bladder
59654,Neurogenic bladder NOS
59655,Detrusor sphincter dyssynergia
59659,Other functional disorder of bladder
5966,"Rupture of bladder, nontraumatic"
5967,Hemorrhage into bladder wall
59681,Infection of cystostomy
59682,Mechanical complication of cystostomy
59683,Other complication of cystostomy
59689,Other specified disorders of bladder
5969,Unspecified disorder of bladder
5970,Urethral abscess
59780,"Urethritis, unspecified"
59781,Urethral syndrome NOS
59789,Other urethritis
59800,Urethral stricture due to unspecified infection
59801,Urethral stricture due to infective diseases classified elsewhere
5981,Traumatic urethral stricture
5982,Postoperative urethral stricture
5988,Other specified causes of urethral stricture
5989,"Urethral stricture, unspecified"
5990,"Urinary tract infection, site not specified"
5991,Urethral fistula
5992,Urethral diverticulum
5993,Urethral caruncle
5994,Urethral false passage
5995,Prolapsed urethral mucosa
59960,"Urinary obstruction, unspecified"
59969,"Urinary obstruction, not elsewhere classified"
59970,"Hematuria, unspecified"
59971,Gross hematuria
59972,Microscopic hematuria
59981,Urethral hypermobility
59982,Intrinsic (urethral) sphincter deficiency [ISD]
59983,Urethral instability
59984,Other specified disorders of urethra
59989,Other specified disorders of urinary tract
5999,Unspecified disorder of urethra and urinary tract
60000,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
60010,Nodular prostate without urinary obstruction
60011,Nodular prostate with urinary obstruction
60020,Benign localized hyperplasia of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS)
60021,Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
6003,Cyst of prostate
60090,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)"
60091,"Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)"
6010,Acute prostatitis
6011,Chronic prostatitis
6012,Abscess of prostate
6013,Prostatocystitis
6014,Prostatitis in diseases classified elsewhere
6018,Other specified inflammatory diseases of prostate
6019,"Prostatitis, unspecified"
6020,Calculus of prostate
6021,Congestion or hemorrhage of prostate
6022,Atrophy of prostate
6023,Dysplasia of prostate
6028,Other specified disorders of prostate
6029,Unspecified disorder of prostate
6030,Encysted hydrocele
6031,Infected hydrocele
6038,Other specified types of hydrocele
6039,"Hydrocele, unspecified"
6040,"Orchitis, epididymitis, and epididymo-orchitis, with abscess"
60490,"Orchitis and epididymitis, unspecified"
60491,Orchitis and epididymitis in diseases classified elsewhere
60499,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess"
605,Redundant prepuce and phimosis
6060,Azoospermia
6061,Oligospermia
6068,Infertility due to extratesticular causes
6069,"Male infertility, unspecified"
6070,Leukoplakia of penis
6071,Balanoposthitis
6072,Other inflammatory disorders of penis
6073,Priapism
60781,Balanitis xerotica obliterans
60782,Vascular disorders of penis
60783,Edema of penis
60784,Impotence of organic origin
60785,Peyronie's disease
60789,Other specified disorders of penis
6079,Unspecified disorder of penis
6080,Seminal vesiculitis
6081,Spermatocele
60820,"Torsion of testis, unspecified"
60821,Extravaginal torsion of spermatic cord
60822,Intravaginal torsion of spermatic cord
60823,Torsion of appendix testis
60824,Torsion of appendix epididymis
6083,Atrophy of testis
6084,Other inflammatory disorders of male genital organs
60881,Disorders of male genital organs in diseases classified elsewhere
60882,Hematospermia
60883,Vascular disorders of male genital organs
60884,Chylocele of tunica vaginalis
60885,Stricture of male genital organs
60886,Edema of male genital organs
60887,Retrograde ejaculation
60889,Other specified disorders of male genital organs
6089,Unspecified disorder of male genital organs
6100,Solitary cyst of breast
6101,Diffuse cystic mastopathy
6102,Fibroadenosis of breast
6103,Fibrosclerosis of breast
6104,Mammary duct ectasia
6108,Other specified benign mammary dysplasias
6109,"Benign mammary dysplasia, unspecified"
6110,Inflammatory disease of breast
6111,Hypertrophy of breast
6112,Fissure of nipple
6113,Fat necrosis of breast
6114,Atrophy of breast
6115,Galactocele
6116,Galactorrhea not associated with childbirth
61171,Mastodynia
61172,Lump or mass in breast
61179,Other signs and symptoms in breast
61181,Ptosis of breast
61182,Hypoplasia of breast
61183,Capsular contracture of breast implant
61189,Other specified disorders of breast
6119,Unspecified breast disorder
6120,Deformity of reconstructed breast
6121,Disproportion of reconstructed breast
6140,Acute salpingitis and oophoritis
6141,Chronic salpingitis and oophoritis
6142,"Salpingitis and oophoritis not specified as acute, subacute, or chronic"
6143,Acute parametritis and pelvic cellulitis
6144,Chronic or unspecified parametritis and pelvic cellulitis
6145,"Acute or unspecified pelvic peritonitis, female"
6146,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
6147,"Other chronic pelvic peritonitis, female"
6148,Other specified inflammatory disease of female pelvic organs and tissues
6149,Unspecified inflammatory disease of female pelvic organs and tissues
6150,"Acute inflammatory diseases of uterus, except cervix"
6151,"Chronic inflammatory diseases of uterus, except cervix"
6159,Unspecified inflammatory disease of uterus
6160,Cervicitis and endocervicitis
61610,"Vaginitis and vulvovaginitis, unspecified"
61611,Vaginitis and vulvovaginitis in diseases classified elsewhere
6162,Cyst of Bartholin's gland
6163,Abscess of Bartholin's gland
6164,Other abscess of vulva
61650,"Ulceration of vulva, unspecified"
61651,Ulceration of vulva in diseases classified elsewhere
61681,"Mucositis (ulcerative) of cervix, vagina, and vulva"
61689,"Other inflammatory disease of cervix, vagina and vulva"
6169,"Unspecified inflammatory disease of cervix, vagina, and vulva"
6170,Endometriosis of uterus
6171,Endometriosis of ovary
6172,Endometriosis of fallopian tube
6173,Endometriosis of pelvic peritoneum
6174,Endometriosis of rectovaginal septum and vagina
6175,Endometriosis of intestine
6176,Endometriosis in scar of skin
6178,Endometriosis of other specified sites
6179,"Endometriosis, site unspecified"
61800,Unspecified prolapse of vaginal walls
61801,"Cystocele, midline"
61802,"Cystocele, lateral"
61803,Urethrocele
61804,Rectocele
61805,Perineocele
61809,Other prolapse of vaginal walls without mention of uterine prolapse
6181,Uterine prolapse without mention of vaginal wall prolapse
6182,"Uterovaginal prolapse, incomplete"
6183,"Uterovaginal prolapse, complete"
6184,"Uterovaginal prolapse, unspecified"
6185,Prolapse of vaginal vault after hysterectomy
6186,"Vaginal enterocele, congenital or acquired"
6187,Old laceration of muscles of pelvic floor
61881,Incompetence or weakening of pubocervical tissue
61882,Incompetence or weakening of rectovaginal tissue
61883,Pelvic muscle wasting
61884,Cervical stump prolapse
61889,Other specified genital prolapse
6189,Unspecified genital prolapse
6190,"Urinary-genital tract fistula, female"
6191,"Digestive-genital tract fistula, female"
6192,"Genital tract-skin fistula, female"
6198,Other specified fistulas involving female genital tract
6199,Unspecified fistula involving female genital tract
6200,Follicular cyst of ovary
6201,Corpus luteum cyst or hematoma
6202,Other and unspecified ovarian cyst
6203,Acquired atrophy of ovary and fallopian tube
6204,Prolapse or hernia of ovary and fallopian tube
6205,"Torsion of ovary, ovarian pedicle, or fallopian tube"
6206,Broad ligament laceration syndrome
6207,Hematoma of broad ligament
6208,"Other noninflammatory disorders of ovary, fallopian tube, and broad ligament"
6209,"Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament"
6210,Polyp of corpus uteri
6211,Chronic subinvolution of uterus
6212,Hypertrophy of uterus
62130,"Endometrial hyperplasia, unspecified"
62131,Simple endometrial hyperplasia without atypia
62132,Complex endometrial hyperplasia without atypia
62133,Endometrial hyperplasia with atypia
62134,Benign endometrial hyperplasia
62135,Endometrial intraepithelial neoplasia [EIN]
6214,Hematometra
6215,Intrauterine synechiae
6216,Malposition of uterus
6217,Chronic inversion of uterus
6218,"Other specified disorders of uterus, not elsewhere classified"
6219,Unspecified disorder of uterus
6220,Erosion and ectropion of cervix
62210,"Dysplasia of cervix, unspecified"
62211,Mild dysplasia of cervix
62212,Moderate dysplasia of cervix
6222,Leukoplakia of cervix (uteri)
6223,Old laceration of cervix
6224,Stricture and stenosis of cervix
6225,Incompetence of cervix
6226,Hypertrophic elongation of cervix
6227,Mucous polyp of cervix
6228,Other specified noninflammatory disorders of cervix
6229,Unspecified noninflammatory disorder of cervix
6230,Dysplasia of vagina
6231,Leukoplakia of vagina
6232,Stricture or atresia of vagina
6233,Tight hymenal ring
6234,Old vaginal laceration
6235,"Leukorrhea, not specified as infective"
6236,Vaginal hematoma
6237,Polyp of vagina
6238,Other specified noninflammatory disorders of vagina
6239,Unspecified noninflammatory disorder of vagina
62401,Vulvar intraepithelial neoplasia I [VIN I]
62402,Vulvar intraepithelial neoplasia II [VIN II]
62409,Other dystrophy of vulva
6241,Atrophy of vulva
6242,Hypertrophy of clitoris
6243,Hypertrophy of labia
6244,Old laceration or scarring of vulva
6245,Hematoma of vulva
6246,Polyp of labia and vulva
6248,Other specified noninflammatory disorders of vulva and perineum
6249,Unspecified noninflammatory disorder of vulva and perineum
6250,Dyspareunia
6251,Vaginismus
6252,Mittelschmerz
6253,Dysmenorrhea
6254,Premenstrual tension syndromes
6255,Pelvic congestion syndrome
6256,"Stress incontinence, female"
62570,"Vulvodynia, unspecified"
62571,Vulvar vestibulitis
62579,Other vulvodynia
6258,Other specified symptoms associated with female genital organs
6259,Unspecified symptom associated with female genital organs
6260,Absence of menstruation
6261,Scanty or infrequent menstruation
6262,Excessive or frequent menstruation
6263,Puberty bleeding
6264,Irregular menstrual cycle
6265,Ovulation bleeding
6266,Metrorrhagia
6267,Postcoital bleeding
6268,Other disorders of menstruation and other abnormal bleeding from female genital tract
6269,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract
6270,Premenopausal menorrhagia
6271,Postmenopausal bleeding
6272,Symptomatic menopausal or female climacteric states
6273,Postmenopausal atrophic vaginitis
6274,Symptomatic states associated with artificial menopause
6278,Other specified menopausal and postmenopausal disorders
6279,Unspecified menopausal and postmenopausal disorder
6280,"Infertility, female, associated with anovulation"
6281,"Infertility, female, of pituitary-hypothalamic origin"
6282,"Infertility, female, of tubal origin"
6283,"Infertility, female, of uterine origin"
6284,"Infertility, female, of cervical or vaginal origin"
6288,"Infertility, female, of other specified origin"
6289,"Infertility, female, of unspecified origin"
6290,"Hematocele, female, not elsewhere classified"
6291,"Hydrocele, canal of nuck"
62920,"Female genital mutilation status, unspecified"
62921,Female genital mutilation Type I status
62922,Female genital mutilation Type II status
62923,Female genital mutilation Type III status
62929,Other female genital mutilation status
62931,Erosion of implanted vaginal mesh and other prosthetic materials to surrounding organ or tissue
62932,Exposure of implanted vaginal mesh and other prosthetic materials into vagina
62981,Recurrent pregnancy loss without current pregnancy
62989,Other specified disorders of female genital organs
6299,Unspecified disorder of female genital organs
630,Hydatidiform mole
6310,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
6318,Other abnormal products of conception
632,Missed abortion
63300,Abdominal pregnancy without intrauterine pregnancy
63301,Abdominal pregnancy with intrauterine pregnancy
63310,Tubal pregnancy without intrauterine pregnancy
63311,Tubal pregnancy with intrauterine pregnancy
63320,Ovarian pregnancy without intrauterine pregnancy
63321,Ovarian pregnancy with intrauterine pregnancy
63380,Other ectopic pregnancy without intrauterine pregnancy
63381,Other ectopic pregnancy with intrauterine pregnancy
63390,Unspecified ectopic pregnancy without intrauterine pregnancy
63391,Unspecified ectopic pregnancy with intrauterine pregnancy
63400,"Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified"
63401,"Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete"
63402,"Spontaneous abortion, complicated by genital tract and pelvic infection, complete"
63410,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified"
63411,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete"
63412,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete"
63420,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, unspecified"
63421,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, incomplete"
63422,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, complete"
63430,"Spontaneous abortion, complicated by renal failure, unspecified"
63431,"Spontaneous abortion, complicated by renal failure, incomplete"
63432,"Spontaneous abortion, complicated by renal failure, complete"
63440,"Spontaneous abortion, complicated by metabolic disorder, unspecified"
63441,"Spontaneous abortion, complicated by metabolic disorder, incomplete"
63442,"Spontaneous abortion, complicated by metabolic disorder, complete"
63450,"Spontaneous abortion, complicated by shock, unspecified"
63451,"Spontaneous abortion, complicated by shock, incomplete"
63452,"Spontaneous abortion, complicated by shock, complete"
63460,"Spontaneous abortion, complicated by embolism, unspecified"
63461,"Spontaneous abortion, complicated by embolism, incomplete"
63462,"Spontaneous abortion, complicated by embolism, complete"
63470,"Spontaneous abortion, with other specified complications, unspecified"
63471,"Spontaneous abortion, with other specified complications, incomplete"
63472,"Spontaneous abortion, with other specified complications, complete"
63480,"Spontaneous abortion, with unspecified complication, unspecified"
63481,"Spontaneous abortion, with unspecified complication, incomplete"
63482,"Spontaneous abortion, with unspecified complication, complete"
63490,"Spontaneous abortion, without mention of complication, unspecified"
63491,"Spontaneous abortion, without mention of complication, incomplete"
63492,"Spontaneous abortion, without mention of complication, complete"
63500,"Legally induced abortion, complicated by genital tract and pelvic infection, unspecified"
63501,"Legally induced abortion, complicated by genital tract and pelvic infection, incomplete"
63502,"Legally induced abortion, complicated by genital tract and pelvic infection, complete"
63510,"Legally induced abortion, complicated by delayed or excessive hemorrhage, unspecified"
63511,"Legally induced abortion, complicated by delayed or excessive hemorrhage, incomplete"
63512,"Legally induced abortion, complicated by delayed or excessive hemorrhage, complete"
63520,"Legally induced abortion, complicated by damage to pelvic organs or tissues, unspecified"
63521,"Legally induced abortion, complicated by damage to pelvic organs or tissues, incomplete"
63522,"Legally induced abortion, complicated by damage to pelvic organs or tissues, complete"
63530,"Legally induced abortion, complicated by renal failure,unspecified"
63531,"Legally induced abortion, complicated by renal failure, incomplete"
63532,"Legally induced abortion, complicated by renal failure, complete"
63540,"Legally induced abortion, complicated by metabolic disorder, unspecified"
63541,"Legally induced abortion, complicated by metabolic disorder, incomplete"
63542,"Legally induced abortion, complicated by metabolic disorder, complete"
63550,"Legally induced abortion, complicated by shock, unspecified"
63551,"Legally induced abortion, complicated by shock, incomplete"
63552,"Legally induced abortion, complicated by shock, complete"
63560,"Legally induced abortion, complicated by embolism, unspecified"
63561,"Legally induced abortion, complicated by embolism, incomplete"
63562,"Legally induced abortion, complicated by embolism, complete"
63570,"Legally induced abortion, with other specified complications, unspecified"
63571,"Legally induced abortion, with other specified complications, incomplete"
63572,"Legally induced abortion, with other specified complications, complete"
63580,"Legally induced abortion, with unspecified complication, unspecified"
63581,"Legally induced abortion, with unspecified complication, incomplete"
63582,"Legally induced abortion, with unspecified complication, complete"
63590,"Legally induced abortion, without mention of complication, unspecified"
63591,"Legally induced abortion, without mention of complication, incomplete"
63592,"Legally induced abortion, without mention of complication, complete"
63600,"Illegally induced abortion, complicated by genital tract and pelvic infection, unspecified"
63601,"Illegally induced abortion, complicated by genital tract and pelvic infection, incomplete"
63602,"Illegally induced abortion, complicated by genital tract and pelvic infection, complete"
63610,"Illegally induced abortion, complicated by delayed or excessive hemorrhage, unspecified"
63611,"Illegally induced abortion, complicated by delayed or excessive hemorrhage, incomplete"
63612,"Illegally induced abortion, complicated by delayed or excessive hemorrhage, complete"
63620,"Illegally induced abortion, complicated by damage to pelvic organs or tissues, unspecified"
63621,"Illegally induced abortion, complicated by damage to pelvic organs or tissues, incomplete"
63622,"Illegally induced abortion, complicated by damage to pelvic organs or tissues, complete"
63630,"Illegally induced abortion, complicated by renal failure, unspecified"
63631,"Illegally induced abortion, complicated by renal failure, incomplete"
63632,"Illegally induced abortion, complicated by renal failure, complete"
63640,"Illegally induced abortion, complicated by metabolic disorder, unspecified"
63641,"Illegally induced abortion, complicated by metabolic disorder, incomplete"
63642,"Illegally induced abortion, complicated by metabolic disorder, complete"
63650,"Illegally induced abortion, complicated by shock, unspecified"
63651,"Illegally induced abortion, complicated by shock, incomplete"
63652,"Illegally induced abortion, complicated by shock, complete"
63660,"Illegally induced abortion, complicated by embolism, unspecified"
63661,"Illegally induced abortion, complicated by embolism, incomplete"
63662,"Illegally induced abortion, complicated by embolism, complete"
63670,"Illegally induced abortion, with other specified complications, unspecified"
63671,"Illegally induced abortion, with other specified complications, incomplete"
63672,"Illegally induced abortion, with other specified complications, complete"
63680,"Illegally induced abortion, with unspecified complication, unspecified"
63681,"Illegally induced abortion, with unspecified complication, incomplete"
63682,"Illegally induced abortion, with unspecified complication, complete"
63690,"Illegally induced abortion, without mention of complication, unspecified"
63691,"Illegally induced abortion, without mention of complication, incomplete"
63692,"Illegally induced abortion, without mention of complication, complete"
63700,"Unspecified abortion, complicated by genital tract and pelvic infection, unspecified"
63701,"Unspecified abortion, complicated by genital tract and pelvic infection, incomplete"
63702,"Unspecified abortion, complicated by genital tract and pelvic infection, complete"
63710,"Unspecified abortion, complicated by delayed or excessive hemorrhage, unspecified"
63711,"Unspecified abortion, complicated by delayed or excessive hemorrhage, incomplete"
63712,"Unspecified abortion, complicated by delayed or excessive hemorrhage, complete"
63720,"Unspecified abortion, complicated by damage to pelvic organs or tissues, unspecified"
63721,"Unspecified abortion, complicated by damage to pelvic organs or tissues, incomplete"
63722,"Unspecified abortion, complicated by damage to pelvic organs or tissues, complete"
63730,"Unspecified abortion, complicated by renal failure, unspecified"
63731,"Unspecified abortion, complicated by renal failure, incomplete"
63732,"Unspecified abortion, complicated by renal failure, complete"
63740,"Unspecified abortion, complicated by metabolic disorder, unspecified"
63741,"Unspecified abortion, complicated by metabolic disorder, incomplete"
63742,"Unspecified abortion, complicated by metabolic disorder, complete"
63750,"Unspecified abortion, complicated by shock, unspecified"
63751,"Unspecified abortion, complicated by shock, incomplete"
63752,"Unspecified abortion, complicated by shock, complete"
63760,"Unspecified abortion, complicated by embolism, unspecified"
63761,"Unspecified abortion, complicated by embolism, incomplete"
63762,"Unspecified abortion, complicated by embolism, complete"
63770,"Unspecified abortion, with other specified complications, unspecified"
63771,"Unspecified abortion, with other specified complications, incomplete"
63772,"Unspecified abortion, with other specified complications, complete"
63780,"Unspecified abortion, with unspecified complication, unspecified"
63781,"Unspecified abortion, with unspecified complication, incomplete"
63782,"Unspecified abortion, with unspecified complication, complete"
63790,"Unspecified abortion, without mention of complication, unspecified"
63791,"Unspecified abortion, without mention of complication, incomplete"
63792,"Unspecified abortion, without mention of complication, complete"
6380,Failed attempted abortion complicated by genital tract and pelvic infection
6381,Failed attempted abortion complicated by delayed or excessive hemorrhage
